"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta",-0.000131375135755307,3.19100700646089e-07,4.15802389673134e-05,-0.000217863916464094,-0.000158189393013727,-0.00012981590340421,-0.0001028114716457,-5.38504200978975e-05,16979.247790988,1.0001809860838
"alpha",0.560953043274942,0.0026015402677306,0.296048984413865,0.0607943345672642,0.342226312931404,0.539392566683133,0.751146834642871,1.19628093454884,12949.8890103292,1.0002691854549
"gamma",0.27527448632917,0.00206077496159404,0.225506998189632,-0.19115462930282,0.130821883402822,0.279934670355046,0.425209536724339,0.710668518261814,11974.5419510121,1.00012734932377
"sigma",1.00979427018898,0.0013625692018218,0.151518610725978,0.767468151107352,0.902904468266831,0.991642350052962,1.09755968764441,1.35673502156654,12365.5894266284,1.00018615850915
"surv_est",0.989382245195354,0.0166068494367779,1.83731669251553,-2.89410216113123,-0.176430146253517,1.07664757415353,2.23489637220279,4.39488333720549,12240.341793781,1.00025955534912
"srep",4169.733323803,22.7380192106584,3514.7048226165,806.540190086316,3112.28713361877,4202.84336411711,5191.31380619842,7258.79164136264,23893.0975625105,1.00012773988879
"smsy_85",1620.80508091256,9.10823058015064,1436.22428021146,339.755641710292,1255.31739908163,1645.34604723756,1976.76692844633,2742.35749623741,24864.3148158972,1.00010641184278
"smsy",1906.82950695596,10.7155653884125,1689.67562377819,399.712519659167,1476.84399891957,1935.70123204418,2325.60815111332,3226.30293674989,24864.3148158972,1.00010641184278
"umsy",0.253761965936006,0.00113473359185967,0.123028757305256,0.0301650046252652,0.163589980612686,0.25073286421707,0.338261706458521,0.501043857178932,11755.0762722037,1.0003070858635
